1ch,1v,2ch,2v,3ch,3v,4ch,4v
4,2,3,2,2,2,3,2
5,3,3,2,2,2,4,2
3,1,2,2,5,1,6,2
4,2,3,3,4,2,3,2
3,2,2,3,3,1,2,2
5,1,4,2,6,2,2,2
2,1,2,2,4,2,3,2
5,1,4,1,1,2,3,2
3,2,4,2,2,2,6,3
6,2,5,3,7,1,4,2
2,2,3,2,2,1,6,3
5,1,4,1,2,2,6,2
1,2,7,3,2,1,3,2
2,2,5,1,1,2,3,2
2,2,4,2,6,1,6,2
3,2,2,2,3,3,4,2
4,2,2,2,3,2,6,2
2,2,3,3,3,3,2,2
6,2,5,3,4,2,3,2
6,3,5,1,4,1,3,2
5,3,3,3,2,2,4,2
7,3,5,1,4,1,3,2
3,2,2,1,3,2,4,1
4,2,5,3,6,2,3,2
4,2,5,1,6,1,3,3
2,1,3,1,2,3,7,3
1,2,6,3,4,2,3,2
6,1,6,2,3,2,4,3
7,2,5,3,6,3,4,2
6,1,3,2,3,2,4,3
6,1,5,1,6,3,2,2
5,3,5,1,3,1,4,1
6,2,6,1,5,3,6,2
2,1,6,1,3,1,2,1
2,2,6,1,3,1,2,1
6,2,2,3,2,1,3,2
